Name,代码,粉丝数
微创医疗 ,(HK:00853),4335
威雅利 ,(HK:00854),4
中国水务 ,(HK:00855),384
伟仕控股 ,(HK:00856),161
中国石油股份 ,(HK:00857),1273
精优药业 ,(HK:00858),100
镇科集团 ,(HK:00859),188
明丰珠宝 ,(HK:00860),70
神州数码 ,(HK:00861),786
VisionValues ,(HK:00862),36
永利地产发展 ,(HK:00864),166
第一电讯 ,(HK:00865),3
中国秦发 ,(HK:00866),280
康哲药业 ,(HK:00867),875
信义玻璃 ,(HK:00868),525
彩星玩具 ,(HK:00869),303
恒丰金业 ,(HK:00870),5
中国疏浚环保 ,(HK:00871),560
锦恒汽车安全 ,(HK:00872),83
中国泰丰床品 ,(HK:00873),100
白云山 ,(HK:00874),14773
从玉农业 ,(HK:00875),46
永利控股（新） ,(HK:00876),64
昂纳光通信集团 ,(HK:00877),264
金朝阳集团 ,(HK:00878),32
澳博控股 ,(HK:00880),662
中升控股 ,(HK:00881),255
天津发展 ,(HK:00882),463
中国海洋石油 ,(HK:00883),792
旭辉控股集团 ,(HK:00884),285
福方集团 ,(HK:00885),24
银基集团 ,(HK:00886),403
