Name,代码,粉丝数
芭田股份 ,(SZ:002170),956
精诚铜业 ,(SZ:002171),462
澳洋科技 ,(SZ:002172),451
千足珍珠 ,(SZ:002173),509
游族网络 ,(SZ:002174),1783
广陆数测 ,(SZ:002175),292
江特电机 ,(SZ:002176),1262
御银股份 ,(SZ:002177),1648
延华智能 ,(SZ:002178),1009
中航光电 ,(SZ:002179),1247
万力达 ,(SZ:002180),793
粤传媒 ,(SZ:002181),2603
云海金属 ,(SZ:002182),865
怡亚通 ,(SZ:002183),15092
海得控制 ,(SZ:002184),478
华天科技 ,(SZ:002185),2932
全聚德 ,(SZ:002186),2805
广百股份 ,(SZ:002187),569
新嘉联 ,(SZ:002188),465
利达光电 ,(SZ:002189),1087
成飞集成 ,(SZ:002190),5783
劲嘉股份 ,(SZ:002191),1441
路翔股份 ,(SZ:002192),2163
山东如意 ,(SZ:002193),311
武汉凡谷 ,(SZ:002194),2248
海隆软件 ,(SZ:002195),1365
方正电机 ,(SZ:002196),614
证通电子 ,(SZ:002197),1786
嘉应制药 ,(SZ:002198),1014
东晶电子 ,(SZ:002199),1974
云投生态 ,(SZ:002200),495
九鼎新材 ,(SZ:002201),474
金风科技 ,(SZ:002202),5544
海亮股份 ,(SZ:002203),553
大连重工 ,(SZ:002204),2329
国统股份 ,(SZ:002205),584
海利得 ,(SZ:002206),729
准油股份 ,(SZ:002207),916
合肥城建 ,(SZ:002208),350
达意隆 ,(SZ:002209),337
飞马国际 ,(SZ:002210),826
宏达新材 ,(SZ:002211),444
南洋股份 ,(SZ:002212),785
特尔佳 ,(SZ:002213),490
大立科技 ,(SZ:002214),1045
诺普信 ,(SZ:002215),3162
三全食品 ,(SZ:002216),5063
*ST合泰 ,(SZ:002217),430
拓日新能 ,(SZ:002218),877
恒康医疗 ,(SZ:002219),2701
天宝股份 ,(SZ:002220),784
东华能源 ,(SZ:002221),1016
福晶科技 ,(SZ:002222),952
鱼跃医疗 ,(SZ:002223),3883
三力士 ,(SZ:002224),586
濮耐股份 ,(SZ:002225),644
江南化工 ,(SZ:002226),551
奥特迅 ,(SZ:002227),2616
合兴包装 ,(SZ:002228),1041
鸿博股份 ,(SZ:002229),3023
科大讯飞 ,(SZ:002230),15087
奥维通信 ,(SZ:002231),1108
启明信息 ,(SZ:002232),1719
塔牌集团 ,(SZ:002233),555
*ST民和 ,(SZ:002234),919
安妮股份 ,(SZ:002235),2236
大华股份 ,(SZ:002236),6679
恒邦股份 ,(SZ:002237),678
天威视讯 ,(SZ:002238),590
金飞达 ,(SZ:002239),423
威华股份 ,(SZ:002240),1759
歌尔声学 ,(SZ:002241),8851
九阳股份 ,(SZ:002242),9023
通产丽星 ,(SZ:002243),585
滨江集团 ,(SZ:002244),735
澳洋顺昌 ,(SZ:002245),609
北化股份 ,(SZ:002246),971
帝龙新材 ,(SZ:002247),332
