Code,Name,港股市值
00750,兴业太阳能,81亿
00751,创维数码,119亿
00752,PICOFAREAST,21亿
00753,中国国航,286亿
00754,合生创展集团,154亿
00755,上海证大,16亿
00756,中国天溢控股,12亿
00757,阳光能源,9亿
00758,JUNEFIELDGROUP,2亿
00759,CECINTLHOLD,16亿
00760,新天地产集团,3亿
00761,百营环球资源,Error
00762,中国联通,2540亿
00763,中兴通讯,115亿
00764,永恒策略,4亿
00765,PERFECTECHINTL,2亿
00766,中盈国金资源,2亿
00767,PACIFICPLYWOOD,3亿
00769,中国稀土,17亿
00771,自动系统,4亿
00773,中国金属再生资源,Error
00775,长江生命科技,77亿
00776,捷丰家居,31亿
00777,网龙,66亿
00789,雅天妮,4亿
00794,锦胜集团(控股),2亿
00800,A8电媒音乐,8亿
00801,金卫医疗,19亿
00802,宏霸数码,2亿
00803,昌兴国际,20亿
00805,GLENCORE-S,4774亿
00806,惠理集团,117亿
00809,大成生化科技,8亿
00811,新华文轩,27亿
00812,敦沛金融,10亿
00813,世茂房地产,591亿
00814,北京京客隆,3亿
00815,中国白银集团,14亿
00816,华电福新,91亿
00817,方兴地产,204亿
00818,高阳科技,52亿
00819,天能动力,24亿
00821,汇盈控股,4亿
00822,嘉瑞国际,10亿
00825,新世界百货中国,41亿
00826,天工国际,33亿
00827,玖源集团,51亿
00828,王朝酒业,Error
00829,神冠控股,70亿
00830,远东环球,28亿
00831,利亚零售,37亿
00832,建业地产,42亿
00833,华讯,5亿
00834,康大食品,3亿
00835,亚洲煤业,12亿
00836,华润电力,976亿
00837,谭木匠,10亿
00838,亿和控股,32亿
00839,天大石油管材,6亿
00840,天业节水,1亿
00841,木薯资源,6亿
00842,理士国际,19亿
00844,广豪国际,3亿
00845,恒盛地产,81亿
00846,明发集团,148亿
00847,哈萨克铜业－Ｓ,136亿
00848,茂业国际,63亿
00850,中亚能源,14亿
00851,盛源控股,8亿
00852,海峡石油化工,9亿
00853,微创医疗,51亿
00854,威雅利,3亿
00855,中国水务,55亿
00856,伟仕控股,39亿
00857,中国石油股份,1706亿
00858,精优药业,8亿
00859,镇科集团,10亿
00860,明丰珠宝,5亿
00861,神州数码,70亿
00862,VISIONVALUES,11亿
00864,永利地产发展,5亿
00865,第一电讯,Error
00866,中国秦发,5亿
00867,康哲药业,316亿
00868,信义玻璃,154亿
00869,彩星玩具,19亿
00871,翔宇疏浚,14亿
00872,锦恒汽车安全,3亿
00873,中国泰丰床品,12亿
00874,白云山,Error
00875,从玉农业,4亿
00876,永利控股,15亿
00877,昂纳光通信集团,12亿
00878,金朝阳集团,34亿
00880,澳博控股,757亿
00881,中升控股,150亿
00882,天津发展,64亿
00883,中国海洋石油,4491亿
00884,旭辉控股集团,94亿
00885,福方集团,Error
00886,银基集团,13亿
00887,英皇钟表珠宝,28亿
00888,路讯通,8亿
00889,连达科技控股,4亿
00891,利邦,27亿
00893,中国铁钛,17亿
00894,万裕科技,6亿
00895,东江环保,23亿
00896,兴胜创建,6亿
00897,位元堂,5亿
00898,万事昌国际,12亿
00899,亚洲资源,6亿
00900,AEONCREDIT,25亿
00902,华能国际电力股份,380亿
00903,冠捷科技,43亿
00904,中国绿色食品,7亿
00906,中粮包装,49亿
00907,高雅国际,2亿
00908,珠海控股投资,20亿
00909,中大国际,Error
00910,中国三迪,2亿
00912,信佳国际,5亿
00914,安徽海螺水泥股份,355亿
00915,林麦集团,5亿
00916,龙源电力,271亿
00917,新世界中国,398亿
00918,第一德胜控股,5亿
00919,现代美容,5亿
00921,海信科龙,31亿
00922,中福控股,6亿
00923,福和集团,16亿
00925,北京建设,46亿
00926,碧生源,16亿
00927,富士高实业,6亿
00928,野马国际,50亿
00929,国际精密,6亿
00930,中国森林,Error
00931,宏通集团,147亿
00933,光汇石油,195亿
00934,中石化冠德,147亿
00935,龙翔集团,9亿
00936,鹏程亚洲,6亿
00938,民生国际,9亿
00939,建设银行,14425亿
00940,中国动物保健品,121亿
00941,中国移动,18488亿
00943,意科控股,2亿
00945,宏利金融-S,2711亿
00946,洪良国际,Error
00947,摩比发展,12亿
