Code,Name,总市值
ATRC,AtriCure,4亿
BF.B,布朗霍文,184亿
ACT,阿特维斯,686亿
BF.A,布朗霍文,185亿
NWS,新闻集团,84亿
TRI,汤姆逊-,309亿
TWX,时代华纳,688亿
DIS,迪士尼,1550亿
CCU,清晰频道,34亿
CBS,哥伦比亚,277亿
CMCSA,康卡斯特,1427亿
AOL,美国在线,33亿
NWSA,新闻集团,87亿
MHP,麦格希,Error
ASCA,AMERISTA,Error
P,潘多拉媒,36亿
WPO,华盛顿邮,Error
GM,通用汽车,-
F,福特汽车,580亿
XOM,埃克森美,3667亿
COP,康菲石油,776亿
RIO,力拓,993亿
CAT,卡特彼勒,547亿
DUK,杜克能源,584亿
HAL,哈里伯顿,321亿
SLB,斯伦贝谢,1072亿
AES,爱依斯,94亿
WMB,威廉姆斯,319亿
BHI,贝克休斯,237亿
SO,美国南方,431亿
ETR,安特吉,155亿
EXC,艾斯能,308亿
AEP,美国电力,287亿
CVX,雪佛龙,1935亿
BP,英国石油,1136亿
HMC,本田汽车,548亿
TM,丰田汽车,2149亿
UNP,联合太平,1000亿
ACIM,拱煤公司,1207万
HP,赫佩公司,65亿
TSLA,特斯拉,255亿
AVA,阿维斯塔,21亿
AVAV,AeroViro,6亿
AEIS,先进能源,9亿
ARSD,阿拉伯美,2亿
AAON,艾伦建材,11亿
ARTNA,自流资源,1亿
ATO,ATMOS能,53亿
ADGE,美国DG能,2768万
SRE,桑普拉能,266亿
RDS.A,壳牌石油,2061亿
RDS.B,壳牌石油,2061亿
GE,通用电气,2520亿
NKE,耐克,828亿
WMT,沃尔玛,2660亿
PG,宝洁,2424亿
BA,波音,861亿
DOW,陶氏化学,546亿
GD,通用动力,455亿
HON,霍尼韦尔,750亿
RTN,雷神,321亿
MMM,3M,1006亿
EL,雅诗兰黛,277亿
AVP,雅芳,41亿
CL,高露洁,624亿
HD,家得宝,1294亿
FDX,联邦快递,497亿
ROK,罗克韦尔,142亿
APOL,阿波罗,34亿
IP,国际纸业,225亿
TGT,塔吉特,461亿
NSC,诺福克南,314亿
WY,惠好,187亿
TYC,泰科国际,173亿
UTX,联合技术,1022亿
DD,杜邦,628亿
AA,美国铝业,183亿
HLT,希尔顿酒,254亿
B,巴恩斯,18亿
PC,松下,Error
CAJ,佳能,429亿
KYO,日本京瓷,171亿
COST,好市多,604亿
ASNA,Ascena,19亿
ATRO,Astronic,10亿
ACW,雅固拉,2亿
BIG,必乐透,21亿
HOG,哈雷摩托,143亿
ATU,实用动力,18亿
ASTE,Astec实,8亿
AVD,美国先锋,3亿
ASEI,美国科工,3亿
ATMI,ATMI公司,Error
ATW,Atwood海,17亿
ADC,同意房产,4亿
AEO,美鹰服饰,25亿
ASH,亚什兰,80亿
ANF,爱芬奇,19亿
ACRE,战神房产,3亿
JCP,彭尼百货,19亿
ATR,Aptar,41亿
HAS,孩之宝,70亿
ERX,3X多能源,2亿
FAZ,3X空金融,2亿
FAS,3X多金融,12亿
SDS,2X空标普,12亿
SSO,2X多标普,22亿
FXI,富时中股,56亿
NUGT,3X多金矿,6亿
CBON,中国高级,-
