Code,Name,总市值
600755,厦门国贸,249亿
600756,浪潮软件,67亿
600757,长江传媒,179亿
600758,红阳能源,29亿
600759,洲际油气,282亿
600760,中航黑豹,54亿
600761,安徽合力,106亿
600762,S*ST金荔,0
600763,通策医疗,142亿
600764,中电广通,73亿
600765,中航重机,240亿
600766,园城黄金,31亿
600767,运盛实业,83亿
600768,宁波富邦,26亿
600769,祥龙电业,51亿
600770,综艺股份,218亿
600771,广誉远,113亿
600772,S*ST龙昌,0
600773,西藏城投,135亿
600774,汉商集团,45亿
600775,南京熊猫,158亿
600776,东方通信,188亿
600777,新潮实业,74亿
600778,友好集团,38亿
600779,水井坊,60亿
600780,通宝能源,114亿
600781,辅仁药业,48亿
600782,新钢股份,124亿
600783,鲁信创投,308亿
600784,鲁银投资,86亿
600785,新华百货,47亿
600786,东方锅炉,0
600787,中储股份,277亿
600788,*ST达曼,0
600789,鲁抗医药,77亿
600790,轻纺城,118亿
600791,京能置业,45亿
600792,云煤能源,94亿
600793,ST宜纸,19亿
600794,保税科技,126亿
600795,国电电力,1198亿
600796,钱江生化,35亿
600797,浙大网新,74亿
600798,宁波海运,101亿
600799,*ST龙科,0
600800,天津磁卡,77亿
600801,华新水泥,192亿
600802,福建水泥,46亿
600803,新奥股份,192亿
600804,鹏博士,443亿
600805,悦达投资,137亿
600806,昆明机床,46亿
600807,天业股份,103亿
600808,马钢股份,482亿
600809,山西汾酒,214亿
600810,神马股份,52亿
600811,东方集团,235亿
600812,华北制药,155亿
600813,ST鞍一工,0
600814,杭州解百,92亿
600815,厦工股份,145亿
600816,安信信托,163亿
600817,ST宏盛,18亿
600818,中路股份,130亿
600819,耀皮玻璃,111亿
600820,隧道股份,463亿
600821,津劝业,48亿
600822,上海物贸,74亿
600823,世茂股份,237亿
600824,益民集团,98亿
600825,新华传媒,165亿
600826,兰生股份,145亿
600827,百联股份,382亿
600828,成商集团,49亿
600829,人民同泰,99亿
600830,香溢融通,79亿
600831,广电网络,112亿
600832,东方明珠,787亿
600833,第一医药,52亿
600834,申通地铁,76亿
600835,上海机电,336亿
600836,界龙实业,70亿
600837,海通证券,2785亿
600838,上海九百,60亿
600839,四川长虹,350亿
600840,新湖创业,0
600841,上柴股份,132亿
600842,中西药业,0
600843,上工申贝,86亿
600844,丹化科技,79亿
600845,宝信软件,212亿
600846,同济科技,82亿
600847,万里股份,46亿
600848,自仪股份,91亿
600849,上药转换,0
