Name,52周最高,52周最低,总市值,每股净资产,市盈率,总股本,每股收益,市净率,30日均量,流通股本,股息率,市销率
sh600601,4.38,2.52,91.31亿,2.01,129.72/80.97,21.95亿,0.03,2.07,5255.10万,21.95亿,0.24%,1.93
sh600602,7.89,4.02,80.70亿,2.17,70.75/64.81,11.73亿,0.04,3.17,1090.39万,8.80亿,-,7.28
sh600603,9.48,4.91,17.56亿,0.05,14.26/13.77,1.95亿,0.00,185.22,730.91万,1.95亿,-,35.53
sh600604,13.49,7.61,73.53亿,2.28,42.79/53.71,5.66亿,0.03,5.70,693.25万,3.34亿,0.23%,21.06
sh600605,14.41,7.16,20.98亿,3.28,315.11/656.24,1.47亿,0.02,4.35,264.86万,1.47亿,0.10%,0.95
sh600606,11.22,5.75,44.78亿,3.77,64.31/-,5.18亿,-0.45,2.29,1493.34万,5.18亿,0.49%,5.40
sh600608,7.90,5.68,24.37亿,-0.04,-/291.11,3.29亿,-0.04,1903.23,666.20万,3.18亿,-,10.98
sh600609,3.74,2.58,38.02亿,0.37,215.16/-,10.93亿,0.01,9.35,2032.75万,10.93亿,-,0.69
sh600611,7.86,5.39,116.31亿,3.56,28.49/27.72,15.76亿,0.13,2.08,1989.33万,10.42亿,1.10%,3.83
sh600612,33.28,19.91,149.87亿,7.15,16.84/16.29,5.23亿,0.81,4.01,133.22万,3.17亿,3.03%,0.45
sh600613,20.00,12.20,76.86亿,4.19,68.91/47.80,4.45亿,0.20,4.13,338.01万,1.48亿,-,6.36
sh600614,13.60,9.20,64.34亿,1.59,196.06/228.23,5.67亿,0.04,7.13,1065.60万,4.47亿,0.18%,4.99
sh600615,12.77,8.50,21.85亿,2.58,132.09/115.72,1.88亿,0.04,4.50,113.88万,1.87亿,-,26.83
sh600616,10.69,7.52,44.57亿,3.68,38.14/40.81,5.15亿,0.13,2.35,775.79万,4.39亿,1.17%,4.40
sh600617,23.98,15.61,118.25亿,3.09,38.41/21.99,5.93亿,0.38,6.45,132.39万,1.03亿,-,2.41
sh600618,9.26,5.80,103.50亿,2.42,622.59/-,11.56亿,-0.04,3.70,1094.55万,7.50亿,0.06%,1.49
sh600619,8.60,5.91,56.49亿,3.55,54.25/51.04,6.68亿,0.10,2.38,484.54万,3.19亿,1.17%,0.83
sh600620,12.94,6.68,38.82亿,1.75,32.79/173.44,4.58亿,0.09,4.86,1217.97万,4.58亿,1.77%,110.52
sh600621,7.76,5.14,33.86亿,3.19,11.44/10.56,5.24亿,0.17,2.03,597.27万,5.24亿,2.64%,2.87
sh600622,7.82,5.45,35.49亿,5.57,10.47/7.96,5.14亿,0.54,1.24,740.95万,5.14亿,2.91%,1.78
sh600623,14.44,8.48,122.39亿,3.15,40.04/39.49,8.89亿,0.19,4.38,430.77万,6.46亿,0.79%,0.86
sh600624,14.60,8.07,56.76亿,1.47,168.37/161.07,4.05亿,0.05,9.51,1604.71万,3.45亿,0.31%,5.74
sh600626,12.35,4.86,63.50亿,3.03,32.99/36.85,7.10亿,0.10,2.95,1434.30万,7.10亿,1.13%,0.89
sh600628,10.65,7.07,52.33亿,4.76,21.51/21.90,5.32亿,0.25,2.07,1376.73万,5.32亿,1.54%,1.51
sh600630,11.35,6.42,46.31亿,3.76,88.65/80.08,4.25亿,0.07,2.90,1525.90万,4.25亿,-,1.15
sh600633,51.00,11.79,224.47亿,3.03,54.53/42.88,11.88亿,0.24,6.23,6644.30万,5.79亿,1.81%,8.57
sh600634,17.99,8.11,100.35亿,3.97,85.68/57.29,5.76亿,0.08,4.39,578.52万,1.31亿,-,2.93
sh600635,6.30,4.51,86.68亿,2.35,31.07/32.45,16.45亿,0.08,2.24,1559.08万,16.45亿,1.34%,2.16
sh600636,15.78,9.87,58.48亿,4.38,82.99/74.96,3.82亿,0.06,3.50,1679.87万,3.82亿,0.39%,1.73
sh600638,15.95,9.85,81.20亿,5.85,35.56/42.85,5.61亿,0.11,2.47,284.46万,5.61亿,1.63%,6.38
sh600639,17.07,9.70,108.02亿,5.06,25.28/24.15,9.29亿,0.23,2.30,919.97万,6.57亿,1.18%,6.34
sh600640,32.00,13.95,114.46亿,4.64,140.87/148.52,5.35亿,0.08,4.61,1229.54万,2.06亿,0.22%,5.62
sh600641,6.00,3.66,35.71亿,4.27,15.75/8.60,8.06亿,0.30,1.04,646.79万,8.06亿,2.26%,1.91
sh600642,5.17,4.08,204.84亿,4.66,8.36/8.76,45.52亿,0.25,0.97,2026.37万,45.52亿,4.44%,0.77
sh600643,15.65,8.92,113.87亿,4.42,23.96/22.36,11.05亿,0.21,2.33,2193.97万,8.18亿,0.58%,51.12
sh600644,9.55,6.87,30.20亿,1.48,-/-,3.26亿,0.09,6.26,565.36万,3.26亿,0.54%,2.00
sh600645,35.36,20.78,120.61亿,1.27,1671.49/415.80,3.49亿,0.06,27.13,940.59万,3.25亿,-,31.16
sh600648,64.16,25.38,335.95亿,7.05,61.70/223.45,11.35亿,0.13,4.20,926.11万,8.10亿,0.50%,6.08
sh600649,10.27,6.05,207.33亿,4.78,15.04/15.87,29.88亿,0.22,1.45,1995.16万,29.88亿,2.16%,5.56
sh600650,14.40,8.47,56.48亿,3.94,24.04/23.31,5.52亿,0.19,2.60,529.08万,3.91亿,2.51%,2.68
sh600651,8.56,5.24,61.49亿,1.60,107.05/106.88,7.39亿,0.03,5.21,1446.69万,7.39亿,0.29%,2.83
sh600652,8.97,3.90,43.33亿,1.63,968.53/-,5.57亿,-0.09,4.79,1968.17万,5.57亿,0.04%,2.63
sh600653,3.33,2.20,53.09亿,1.11,30.73/60.73,17.46亿,-0.05,2.73,1996.37万,17.46亿,-,0.70
sh600654,10.97,6.58,81.09亿,1.96,67.93/77.07,7.55亿,0.04,5.47,1017.38万,7.55亿,0.45%,3.95
sh600655,10.17,6.75,121.60亿,4.61,12.40/15.43,14.37亿,0.23,1.83,900.40万,14.37亿,2.57%,0.61
sh600656,9.05,5.23,17.15亿,0.41,141.47/171.06,1.90亿,0.01,21.92,772.67万,1.90亿,-,7.73
sh600657,4.11,2.94,58.68亿,4.76,8.34/8.38,15.24亿,0.15,0.81,1294.74万,15.24亿,2.12%,1.15
sh600658,13.78,8.86,74.66亿,5.03,14.98/13.58,5.80亿,0.70,2.56,451.72万,5.80亿,1.98%,5.01
sh600660,10.75,7.26,210.51亿,3.94,10.98/9.92,20.03亿,0.52,2.67,1917.41万,20.03亿,4.72%,1.75
sh600661,32.19,9.75,75.96亿,1.39,508.03/467.01,2.51亿,0.02,21.79,311.56万,1.74亿,-,12.97
sh600662,10.78,3.99,80.79亿,2.93,47.51/45.90,10.53亿,0.06,2.62,1998.16万,10.53亿,1.29%,2.01
sh600663,29.19,15.36,330.21亿,6.10,23.49/22.21,18.68亿,0.31,2.90,707.44万,13.58亿,1.27%,7.00
sh600664,8.95,5.57,162.79亿,4.35,96.52/53.08,19.17亿,0.17,1.95,1620.89万,10.53亿,0.77%,0.91
sh600665,4.03,2.90,30.50亿,2.80,11.45/14.07,8.64亿,0.15,1.26,577.46万,8.64亿,2.85%,1.34
sh600666,21.47,6.39,52.72亿,1.55,161.00/209.55,2.90亿,0.09,11.69,1947.63万,2.90亿,0.07%,4.38
sh600667,5.35,2.84,61.95亿,1.31,497.29/372.97,11.91亿,0.00,3.97,2677.69万,11.91亿,0.20%,1.56
sh600668,12.78,8.51,42.56亿,5.57,21.12/15.53,3.44亿,0.49,2.22,1572.50万,3.44亿,1.44%,1.89
sh600671,16.05,10.47,18.77亿,0.66,890.06/3734.84,1.22亿,-0.01,23.27,293.66万,1.22亿,-,8.38
sh600673,16.74,7.12,124.20亿,3.66,84.98/83.33,9.50亿,0.06,3.57,1907.76万,8.23亿,0.38%,2.49
sh600674,15.74,10.00,346.23亿,5.13,25.34/20.86,22.01亿,0.43,3.06,1539.16万,20.66亿,0.46%,29.93
sh600675,8.27,4.65,97.83亿,3.13,24.36/27.01,18.67亿,0.16,1.68,2267.06万,18.67亿,1.92%,1.80
sh600676,7.51,4.90,54.67亿,3.77,18.20/17.97,8.62亿,0.19,1.68,649.23万,7.82亿,1.73%,0.63
sh600677,18.58,8.43,73.71亿,4.24,215.26/-,4.16亿,-0.04,4.17,2200.87万,3.26亿,0.74%,0.96
sh600679,17.44,10.24,54.88亿,1.66,626.48/819.51,3.54亿,-0.02,9.35,502.18万,1.82亿,-,8.09
sh600680,21.37,8.35,71.17亿,3.56,457.01/950.66,3.82亿,0.01,5.23,460.87万,2.57亿,-,3.86
sh600681,6.45,3.73,16.14亿,0.07,-/617.22,2.51亿,0.00,87.23,543.39万,2.21亿,-,25.35
sh600682,15.58,9.48,54.79亿,4.14,40.51/35.48,3.58亿,0.25,3.69,373.26万,3.58亿,0.66%,1.53
sh600683,6.21,3.81,41.19亿,2.30,55.26/-,7.41亿,-0.19,2.42,1245.13万,7.41亿,0.56%,6.38
